customer_id,sex,is_married,event_time,email,age_18-29,age_30-39,age_40-49,age_50-59,age_60-69,age_70-plus,n_days_active
C10034,1,1,2024-05-02T13:43:28.339Z,donaldlee@example.net,0,0,1,0,0,0,0.8534246575342466
C10035,1,1,2024-05-02T13:43:28.339Z,ogalloway@example.net,1,0,0,0,0,0,0.1260273972602739
C10036,1,0,2024-05-02T13:43:28.340Z,bmcgrath@example.net,0,0,0,0,1,0,0.6602739726027398
C10037,0,1,2024-05-02T13:43:28.341Z,phillipjackson@example.net,0,1,0,0,0,0,0.18767123287671228
C10038,1,1,2024-05-02T13:43:28.343Z,wagnerjohn@example.net,0,0,0,0,0,1,0.486986301369863
C10039,1,0,2024-05-02T13:43:28.344Z,michelle43@example.com,0,1,0,0,0,0,0.03356164383561655
C10040,1,0,2024-05-02T13:43:28.345Z,gonzalezemily@example.net,0,0,1,0,0,0,0.3753424657534248
C10041,1,0,2024-05-02T13:43:28.345Z,bennettmanuel@example.net,0,1,0,0,0,0,0.5945205479452056
C10042,1,1,2024-05-02T13:43:28.346Z,ramirezkatrina@example.net,1,0,0,0,0,0,0.7712328767123289
C10043,0,0,2024-05-02T13:43:28.347Z,cbarry@example.org,0,0,1,0,0,0,0.9787671232876711
C10044,1,1,2024-05-02T13:43:28.348Z,sandy41@example.org,0,0,0,0,0,1,0.17054794520547945
C10045,1,1,2024-05-02T13:43:28.349Z,whitejose@example.org,0,0,0,0,1,0,0.1657534246575343
C10046,1,0,2024-05-02T13:43:28.350Z,floydcindy@example.net,0,1,0,0,0,0,0.3226027397260274
C10047,1,0,2024-05-02T13:43:28.351Z,richardmcclure@example.net,0,0,0,0,0,1,0.06232876712328772
C10048,1,0,2024-05-02T13:43:28.352Z,kimberlycastro@example.org,1,0,0,0,0,0,0.9513698630136989
C10049,1,1,2024-05-02T13:43:28.352Z,mariawashington@example.net,0,0,1,0,0,0,0.6657534246575343
C10050,1,0,2024-05-02T13:43:28.353Z,seansmith@example.org,0,0,0,0,0,1,0.05684931506849322
C10051,0,0,2024-05-02T13:43:28.354Z,randalljames@example.com,0,0,0,1,0,0,0.7575342465753425
C10052,1,1,2024-05-02T13:43:28.355Z,michaelbooth@example.org,0,0,0,0,1,0,0.9205479452054797
C10053,1,0,2024-05-02T13:43:28.355Z,oconnellfrederick@example.net,0,0,0,0,0,1,0.2205479452054795
C10054,1,1,2024-05-02T13:43:28.356Z,evansjuan@example.org,0,0,0,0,1,0,0.7301369863013698
C10055,1,0,2024-05-02T13:43:28.357Z,loricollins@example.com,0,0,0,0,0,1,0.55
C10056,0,0,2024-05-02T13:43:28.358Z,karengriffin@example.net,0,0,0,0,1,0,0.11780821917808226
C10057,1,0,2024-05-02T13:43:28.359Z,douglasmiller@example.net,0,0,0,0,0,1,0.6294520547945206
C10058,0,0,2024-05-02T13:43:28.360Z,rsanchez@example.org,0,0,0,0,1,0,0.467123287671233
C10059,0,1,2024-05-02T13:43:28.361Z,ygardner@example.net,1,0,0,0,0,0,0.7075342465753425
C10060,0,1,2024-05-02T13:43:28.361Z,morgansamantha@example.org,1,0,0,0,0,0,0.026712328767123372
C10061,0,0,2024-05-02T13:43:28.362Z,denisesanchez@example.com,0,0,0,1,0,0,0.2863013698630137
C10062,1,1,2024-05-02T13:43:28.363Z,mcgeephillip@example.net,0,0,0,0,0,1,0.13698630136986312
C10063,1,1,2024-05-02T13:43:28.364Z,christina70@example.net,0,0,1,0,0,0,0.8390410958904111
C10064,0,1,2024-05-02T13:43:28.365Z,garrettwilliam@example.org,0,0,1,0,0,0,0.6636986301369863
C10065,0,1,2024-05-02T13:43:28.365Z,jcaldwell@example.com,0,0,0,0,0,1,0.2808219178082192
C10066,0,0,2024-05-02T13:43:28.366Z,russellheather@example.org,0,0,0,0,0,1,0.5828767123287673
C10067,0,1,2024-05-02T13:43:28.367Z,jackie07@example.org,0,0,0,0,0,1,0.2678082191780822
C10068,0,0,2024-05-02T13:43:28.368Z,amarquez@example.org,0,0,1,0,0,0,0.24246575342465748
C10069,1,1,2024-05-02T13:43:28.368Z,fsampson@example.com,0,1,0,0,0,0,0.47739726027397267
C10070,1,0,2024-05-02T13:43:28.369Z,nixonandre@example.com,1,0,0,0,0,0,0.5664383561643835
C10071,1,1,2024-05-02T13:43:28.370Z,qwhite@example.org,0,0,0,1,0,0,0.6787671232876713
C10072,1,1,2024-05-02T13:43:28.370Z,johndecker@example.org,0,1,0,0,0,0,0.03424657534246567
C10073,1,0,2024-05-02T13:43:28.371Z,stevendavis@example.com,1,0,0,0,0,0,0.3616438356164384
C10074,0,0,2024-05-02T13:43:28.372Z,gcooper@example.net,0,0,0,1,0,0,0.4130136986301369
C10075,0,0,2024-05-02T13:43:28.373Z,williammorrow@example.com,0,1,0,0,0,0,0.1445205479452054
C10076,1,0,2024-05-02T13:43:28.374Z,eblevins@example.org,1,0,0,0,0,0,0.16095890410958913
C10077,0,0,2024-05-02T13:43:28.375Z,aliciarodriguez@example.org,0,0,1,0,0,0,0.6986301369863015
C10078,0,1,2024-05-02T13:43:28.375Z,corybates@example.com,0,0,0,1,0,0,0.36438356164383556
C10079,1,1,2024-05-02T13:43:28.376Z,vcollier@example.net,0,0,0,0,0,1,0.09452054794520559
C10080,1,0,2024-05-02T13:43:28.377Z,ruben41@example.com,0,0,1,0,0,0,0.7431506849315068
C10081,1,1,2024-05-02T13:43:28.377Z,rivasanna@example.net,0,0,0,0,0,1,0.47945205479452047
C10082,0,0,2024-05-02T13:43:28.378Z,thompsonroger@example.org,0,0,0,0,1,0,0.3753424657534248
C10083,1,1,2024-05-02T13:43:28.379Z,woodscarrie@example.org,0,0,0,1,0,0,0.9308219178082191
C10084,1,1,2024-05-02T13:43:28.379Z,kirstenbennett@example.net,0,0,0,0,0,1,0.9575342465753427
C10085,1,0,2024-05-02T13:43:28.380Z,kimberlyalvarez@example.net,1,0,0,0,0,0,0.9356164383561643
C10086,0,1,2024-05-02T13:43:28.381Z,michellebell@example.net,0,1,0,0,0,0,0.32397260273972606
C10087,0,0,2024-05-02T13:43:28.381Z,smithheather@example.com,0,0,0,0,0,1,0.9349315068493151
C10088,1,1,2024-05-02T13:43:28.382Z,angela99@example.net,0,0,1,0,0,0,0.39657534246575343
C10089,1,1,2024-05-02T13:43:28.383Z,larawayne@example.net,0,0,0,0,0,1,0.021917808219178214
C10090,0,0,2024-05-02T13:43:28.384Z,hallstacey@example.org,0,1,0,0,0,0,0.8821917808219177
C10091,1,0,2024-05-02T13:43:28.384Z,elliottjasmine@example.org,0,0,1,0,0,0,0.8972602739726028
C10092,1,1,2024-05-02T13:43:28.385Z,brandonjohnson@example.org,1,0,0,0,0,0,0.7226027397260275
C10093,0,0,2024-05-02T13:43:28.386Z,eboyer@example.com,0,0,0,0,1,0,0.47191780821917817
C10094,1,1,2024-05-02T13:43:28.387Z,piercegary@example.net,0,1,0,0,0,0,0.5856164383561644
C10095,0,1,2024-05-02T13:43:28.387Z,susanramsey@example.com,0,0,0,0,1,0,0.8438356164383563
C10096,0,1,2024-05-02T13:43:28.388Z,phamilton@example.org,0,1,0,0,0,0,0.48424657534246585
C10097,1,1,2024-05-02T13:43:28.389Z,tmorales@example.org,0,0,0,0,0,1,0.044520547945205546
C10098,1,0,2024-05-02T13:43:28.389Z,thicks@example.net,0,0,0,0,0,1,0.7910958904109588
C10099,1,1,2024-05-02T13:43:28.390Z,epowers@example.net,1,0,0,0,0,0,0.08424657534246571
C10100,0,1,2024-05-02T13:43:28.391Z,gravesgordon@example.com,0,0,0,0,0,1,0.8136986301369864
C10101,0,0,2024-05-02T13:43:28.391Z,kimberly15@example.net,0,1,0,0,0,0,0.5089041095890412
C10102,0,0,2024-05-02T13:43:28.392Z,donnaunderwood@example.com,1,0,0,0,0,0,0.3520547945205479
C10103,0,0,2024-05-02T13:43:28.393Z,newtonvictor@example.net,0,0,0,0,0,1,0.5726027397260274
C10104,1,0,2024-05-02T13:43:28.393Z,hlopez@example.com,1,0,0,0,0,0,0.7876712328767124
C10105,1,0,2024-05-02T13:43:28.394Z,fmendoza@example.org,0,0,1,0,0,0,0.03013698630136985
C10106,0,0,2024-05-02T13:43:28.395Z,zjones@example.net,0,0,1,0,0,0,0.18630136986301382
C10107,1,0,2024-05-02T13:43:28.395Z,uhess@example.com,0,1,0,0,0,0,0.19246575342465766
C10108,0,0,2024-05-02T13:43:28.396Z,jasonperry@example.com,1,0,0,0,0,0,0.8815068493150686
C10109,0,1,2024-05-02T13:43:28.397Z,annanorman@example.com,1,0,0,0,0,0,0.3027397260273972
C10110,0,0,2024-05-02T13:43:28.397Z,garrettlucas@example.org,0,1,0,0,0,0,0.7506849315068493
C10111,1,0,2024-05-02T13:43:28.398Z,sarabarnett@example.com,0,0,1,0,0,0,0.7157534246575343
C10112,1,0,2024-05-02T13:43:28.399Z,calderonjason@example.org,1,0,0,0,0,0,0.9602739726027396
C10113,1,1,2024-05-02T13:43:28.399Z,nicholas89@example.org,0,1,0,0,0,0,0.5856164383561644
C10114,1,0,2024-05-02T13:43:28.400Z,salazartravis@example.com,0,0,1,0,0,0,0.18630136986301382
C10115,0,0,2024-05-02T13:43:28.400Z,shirley07@example.net,1,0,0,0,0,0,0.007534246575342518
C10116,0,1,2024-05-02T13:43:28.401Z,trevor58@example.com,0,0,0,0,1,0,0.38561643835616444
C10117,0,1,2024-05-02T13:43:28.402Z,smithcarlos@example.org,1,0,0,0,0,0,0.44452054794520546
C10118,0,0,2024-05-02T13:43:28.403Z,kanekelly@example.net,0,0,0,0,0,1,0.8383561643835618
C10119,0,1,2024-05-02T13:43:28.403Z,katherine86@example.net,0,0,0,0,0,1,0.8465753424657534
C10120,1,1,2024-05-02T13:43:28.404Z,ztaylor@example.org,0,0,0,0,0,1,0.0712328767123287
C10121,1,0,2024-05-02T13:43:28.405Z,luis18@example.net,0,0,0,0,0,1,0.6513698630136986
C10122,1,0,2024-05-02T13:43:28.405Z,jacquelinerodriguez@example.org,0,0,0,0,1,0,0.2116438356164383
C10123,1,0,2024-05-02T13:43:28.406Z,tadams@example.net,0,0,0,0,0,1,0.6465753424657534
C10124,0,1,2024-05-02T13:43:28.406Z,jonathan41@example.org,0,0,0,0,0,1,0.5780821917808219
C10125,0,0,2024-05-02T13:43:28.407Z,jsmith@example.org,0,0,1,0,0,0,0.3835616438356164
C10126,1,0,2024-05-02T13:43:28.407Z,todd44@example.net,0,0,1,0,0,0,0.8171232876712329
C10127,1,0,2024-05-02T13:43:28.408Z,christinafreeman@example.com,0,0,0,0,0,1,0.24657534246575352
C10128,0,1,2024-05-02T13:43:28.409Z,danieldavis@example.net,0,1,0,0,0,0,0.6294520547945206
C10129,0,0,2024-05-02T13:43:28.410Z,jennifer17@example.net,0,0,1,0,0,0,0.23698630136986298
C10130,1,1,2024-05-02T13:43:28.410Z,kramirez@example.net,0,0,0,0,1,0,0.6582191780821918
C10131,0,1,2024-05-02T13:43:28.411Z,kari94@example.com,1,0,0,0,0,0,0.6226027397260274
C10132,0,0,2024-05-02T13:43:28.411Z,penajacqueline@example.org,0,0,0,1,0,0,0.4835616438356165
C10133,0,0,2024-05-02T13:43:28.412Z,nelsonlisa@example.net,0,0,0,0,1,0,0.051369863013698724
C10134,0,0,2024-05-02T13:43:28.413Z,michaelpeterson@example.net,0,0,0,1,0,0,0.5698630136986302
C10135,1,1,2024-05-02T13:43:28.414Z,christopherkhan@example.org,1,0,0,0,0,0,0.8678082191780823
C10136,1,0,2024-05-02T13:43:28.414Z,chandlermark@example.com,0,0,1,0,0,0,0.4821917808219178
C10137,1,0,2024-05-02T13:43:28.415Z,johnrose@example.org,0,0,1,0,0,0,0.7246575342465753
C10138,0,1,2024-05-02T13:43:28.416Z,deborahhill@example.org,1,0,0,0,0,0,0.5123287671232877
C10139,1,0,2024-05-02T13:43:28.416Z,hillteresa@example.com,0,0,0,0,1,0,0.3082191780821919
C10140,0,0,2024-05-02T13:43:28.417Z,donald35@example.com,0,0,0,1,0,0,0.9705479452054795
C10141,1,1,2024-05-02T13:43:28.418Z,jasoncochran@example.net,1,0,0,0,0,0,0.7732876712328767
C10142,0,0,2024-05-02T13:43:28.419Z,amanda67@example.com,0,0,0,1,0,0,0.07397260273972606
C10143,1,0,2024-05-02T13:43:28.419Z,scott08@example.org,0,0,0,1,0,0,0.06232876712328772
C10144,0,0,2024-05-02T13:43:28.420Z,barryhenderson@example.org,1,0,0,0,0,0,0.019863013698630194
C10145,0,1,2024-05-02T13:43:28.420Z,wanderson@example.com,1,0,0,0,0,0,0.47534246575342465
C10146,0,1,2024-05-02T13:43:28.421Z,morenokeith@example.net,0,0,0,0,0,1,0.595890410958904
C10147,0,1,2024-05-02T13:43:28.422Z,cbarron@example.org,0,0,0,1,0,0,0.9205479452054797
C10148,1,1,2024-05-02T13:43:28.423Z,mccoyjulia@example.org,0,0,1,0,0,0,0.8452054794520549
C10149,1,0,2024-05-02T13:43:28.423Z,warealexander@example.net,0,0,0,0,1,0,0.40068493150684925
C10150,1,0,2024-05-02T13:43:28.424Z,andrewbrown@example.net,1,0,0,0,0,0,0.9479452054794519
C10151,1,0,2024-05-02T13:43:28.424Z,maryherring@example.org,1,0,0,0,0,0,0.4363013698630138
C10152,0,1,2024-05-02T13:43:28.425Z,charlesrose@example.com,0,0,1,0,0,0,0.6178082191780823
C10153,0,0,2024-05-02T13:43:28.426Z,mariomathis@example.org,0,0,0,1,0,0,0.8684931506849316
C10154,0,1,2024-05-02T13:43:28.426Z,rangelrichard@example.net,1,0,0,0,0,0,0.9308219178082191
C10155,0,1,2024-05-02T13:43:28.427Z,christina63@example.net,1,0,0,0,0,0,0.9678082191780821
C10156,0,1,2024-05-02T13:43:28.427Z,lewiskayla@example.com,0,0,0,0,1,0,0.2006849315068493
C10157,0,1,2024-05-02T13:43:28.428Z,badams@example.com,0,0,0,1,0,0,0.5328767123287672
C10158,1,1,2024-05-02T13:43:28.428Z,timothy43@example.net,0,0,0,0,0,1,0.7308219178082191
C10159,1,0,2024-05-02T13:43:28.429Z,joseph38@example.org,1,0,0,0,0,0,0.1643835616438356
C10160,0,0,2024-05-02T13:43:28.430Z,jacksoncynthia@example.net,0,0,1,0,0,0,0.16712328767123297
C10161,0,0,2024-05-02T13:43:28.430Z,matthew06@example.com,1,0,0,0,0,0,0.38013698630136994
C10162,1,0,2024-05-02T13:43:28.431Z,tcombs@example.net,1,0,0,0,0,0,0.3321917808219179
C10163,1,1,2024-05-02T13:43:28.431Z,charlesboone@example.com,0,0,0,0,1,0,0.40616438356164397
C10164,1,0,2024-05-02T13:43:28.432Z,villarrealjeffrey@example.com,0,0,0,0,0,1,0.022602739726027332
C10165,1,0,2024-05-02T13:43:28.433Z,curtis69@example.net,0,1,0,0,0,0,0.40410958904109595
C10166,1,0,2024-05-02T13:43:28.433Z,cjones@example.org,0,1,0,0,0,0,0.9287671232876713
C10167,0,1,2024-05-02T13:43:28.434Z,johnsonstephanie@example.com,1,0,0,0,0,0,0.8472602739726027
C10168,1,1,2024-05-02T13:43:28.435Z,jefferytownsend@example.org,1,0,0,0,0,0,0.7472602739726029
C10169,0,1,2024-05-02T13:43:28.435Z,taylorzhang@example.com,0,0,0,1,0,0,0.5986301369863014
C10170,1,0,2024-05-02T13:43:28.436Z,xanderson@example.net,0,0,0,0,0,1,0.48424657534246585
C10171,0,0,2024-05-02T13:43:28.437Z,murphypeter@example.org,0,0,0,0,1,0,0.595890410958904
C10172,1,0,2024-05-02T13:43:28.437Z,brian76@example.com,0,1,0,0,0,0,0.6349315068493151
C10173,1,1,2024-05-02T13:43:28.438Z,xrogers@example.com,0,0,0,0,1,0,0.6116438356164384
C10174,0,1,2024-05-02T13:43:28.439Z,fullervalerie@example.org,0,0,0,0,1,0,0.08904109589041109
C10175,1,0,2024-05-02T13:43:28.439Z,weststacy@example.org,0,0,0,0,0,1,0.42465753424657526
C10176,0,0,2024-05-02T13:43:28.440Z,jessicarodriguez@example.net,0,0,1,0,0,0,0.03972602739726039
C10177,0,1,2024-05-02T13:43:28.440Z,mackcorey@example.com,0,0,1,0,0,0,0.9171232876712327
C10178,0,1,2024-05-02T13:43:28.441Z,michaelsandoval@example.net,0,1,0,0,0,0,0.013698630136986356
C10179,1,1,2024-05-02T13:43:28.442Z,yjones@example.org,0,0,0,0,0,0,0.5219178082191782
C10180,0,0,2024-05-02T13:43:28.442Z,wflores@example.com,0,0,0,0,0,1,0.9404109589041094
C10181,0,0,2024-05-02T13:43:28.443Z,stevensgeorge@example.net,0,0,0,1,0,0,0.3650684931506849
C10182,0,1,2024-05-02T13:43:28.444Z,rclay@example.org,1,0,0,0,0,0,0.5691780821917809
C10183,0,0,2024-05-02T13:43:28.444Z,taylorjames@example.com,0,0,0,0,0,1,0.4034246575342466
C10184,0,1,2024-05-02T13:43:28.445Z,allenjennifer@example.org,0,1,0,0,0,0,0.6452054794520548
C10185,1,1,2024-05-02T13:43:28.446Z,kruegermaria@example.com,0,0,0,0,0,1,0.43698630136986294
C10186,0,0,2024-05-02T13:43:28.446Z,edward88@example.org,0,0,0,0,0,1,0.15821917808219177
C10187,0,0,2024-05-02T13:43:28.447Z,fpetersen@example.org,0,1,0,0,0,0,0.43356164383561646
C10188,1,1,2024-05-02T13:43:28.448Z,lbooth@example.org,0,0,0,1,0,0,0.8068493150684932
C10189,1,1,2024-05-02T13:43:28.448Z,meghanroy@example.com,0,1,0,0,0,0,0.26506849315068504
C10190,0,0,2024-05-02T13:43:28.449Z,nealjason@example.com,0,1,0,0,0,0,0.6726027397260275
C10191,0,1,2024-05-02T13:43:28.449Z,rschroeder@example.net,0,0,1,0,0,0,0.9424657534246577
C10192,0,0,2024-05-02T13:43:28.450Z,eevans@example.org,1,0,0,0,0,0,0.19315068493150678
C10193,1,1,2024-05-02T13:43:28.451Z,danaguzman@example.net,0,0,0,0,1,0,0.7301369863013698
C10194,1,0,2024-05-02T13:43:28.451Z,ryan25@example.net,0,0,0,0,0,1,0.1678082191780823
C10195,0,0,2024-05-02T13:43:28.452Z,christianeaton@example.com,0,0,0,0,0,1,0.7863013698630137
C10196,0,0,2024-05-02T13:43:28.453Z,jared80@example.com,0,0,0,0,1,0,0.7356164383561643
C10197,0,1,2024-05-02T13:43:28.453Z,tstafford@example.com,1,0,0,0,0,0,0.45136986301369864
C10198,0,0,2024-05-02T13:43:28.454Z,walkerethan@example.com,1,0,0,0,0,0,0.6623287671232878
C10199,1,0,2024-05-02T13:43:28.455Z,wesleymoss@example.net,1,0,0,0,0,0,0.6041095890410959
C10200,0,1,2024-05-02T13:43:28.455Z,andersondeborah@example.org,0,0,0,0,0,1,0.24246575342465748
C10201,1,0,2024-05-02T13:43:28.456Z,cgreen@example.org,0,0,0,0,0,1,0.13904109589041092
C10202,1,1,2024-05-02T13:43:28.457Z,edwardsmith@example.net,1,0,0,0,0,0,0.8897260273972603
C10203,1,1,2024-05-02T13:43:28.457Z,tammy37@example.com,0,0,0,0,0,1,0.020547945205479534
C10204,0,0,2024-05-02T13:43:28.458Z,jennifer00@example.net,0,1,0,0,0,0,0.3102739726027397
C10205,1,1,2024-05-02T13:43:28.458Z,kcampos@example.net,0,0,0,0,0,1,0.14246575342465762
C10206,1,0,2024-05-02T13:43:28.459Z,hayesjohn@example.com,0,1,0,0,0,0,0.12191780821917808
C10207,0,0,2024-05-02T13:43:28.460Z,whitegarrett@example.com,1,0,0,0,0,0,0.13082191780821928
C10208,0,0,2024-05-02T13:43:28.460Z,tjensen@example.com,0,0,0,1,0,0,0.00068493150684934
C10209,1,1,2024-05-02T13:43:28.461Z,brianreyes@example.com,1,0,0,0,0,0,0.16643835616438363
C10210,1,1,2024-05-02T13:43:28.462Z,stephanie97@example.com,0,0,0,0,0,1,0.7657534246575344
C10211,1,0,2024-05-02T13:43:28.462Z,lcurtis@example.org,0,0,0,0,0,1,0.7801369863013699
C10212,0,1,2024-05-02T13:43:28.463Z,huntermichelle@example.com,0,1,0,0,0,0,0.8150684931506849
C10213,1,1,2024-05-02T13:43:28.463Z,sandersjane@example.net,0,1,0,0,0,0,0.2828767123287672
C10214,0,1,2024-05-02T13:43:28.464Z,amberberger@example.net,0,0,0,0,0,1,0.5561643835616439
C10215,1,1,2024-05-02T13:43:28.465Z,wardkaren@example.com,0,1,0,0,0,0,0.6856164383561645
C10216,0,0,2024-05-02T13:43:28.465Z,emilymiller@example.net,0,1,0,0,0,0,0.6575342465753424
C10217,0,1,2024-05-02T13:43:28.466Z,brian92@example.net,0,0,0,0,1,0,0.7191780821917808
C10218,0,1,2024-05-02T13:43:28.466Z,ajohnson@example.com,0,0,0,0,0,1,0.8910958904109589
C10219,0,0,2024-05-02T13:43:28.467Z,adamstewart@example.org,0,0,0,0,1,0,0.4705479452054795
C10220,1,0,2024-05-02T13:43:28.468Z,martinmichael@example.org,0,1,0,0,0,0,0.4123287671232878
C10221,0,0,2024-05-02T13:43:28.469Z,bakerautumn@example.org,0,0,0,0,0,1,0.21575342465753433
C10222,1,1,2024-05-02T13:43:28.469Z,ayork@example.net,0,0,0,1,0,0,0.12671232876712324
C10223,0,0,2024-05-02T13:43:28.470Z,hatkins@example.net,0,1,0,0,0,0,0.7287671232876713
C10224,1,1,2024-05-02T13:43:28.471Z,landerson@example.org,0,0,0,0,0,1,0.654109589041096
C10225,0,0,2024-05-02T13:43:28.471Z,justinperez@example.org,0,0,0,1,0,0,0.7109589041095892
C10226,1,0,2024-05-02T13:43:28.472Z,shannon51@example.com,0,0,1,0,0,0,0.715068493150685
C10227,0,0,2024-05-02T13:43:28.472Z,sheltonchristopher@example.net,0,0,0,0,1,0,0.25479452054794516
C10228,1,1,2024-05-02T13:43:28.473Z,mary33@example.org,0,0,1,0,0,0,0.6164383561643836
C10229,1,0,2024-05-02T13:43:28.473Z,paulmartin@example.com,1,0,0,0,0,0,0.1239726027397261
C10230,1,0,2024-05-02T13:43:28.474Z,kingjoshua@example.net,1,0,0,0,0,0,0.7438356164383562
C10231,0,0,2024-05-02T13:43:28.475Z,ywilson@example.org,0,0,1,0,0,0,0.27054794520547953
C10232,0,0,2024-05-02T13:43:28.476Z,lisa91@example.com,0,0,0,0,0,1,0.6636986301369863
C10233,1,0,2024-05-02T13:43:28.476Z,stephaniekelly@example.com,0,1,0,0,0,0,0.13561643835616444
C10234,0,0,2024-05-02T13:43:28.477Z,boothstuart@example.net,0,0,0,0,0,1,0.026712328767123372
C10235,0,1,2024-05-02T13:43:28.478Z,robinsonjoan@example.com,1,0,0,0,0,0,0.3123287671232877
C10236,0,1,2024-05-02T13:43:28.478Z,gabriela44@example.com,0,1,0,0,0,0,0.2116438356164383
C10237,1,1,2024-05-02T13:43:28.479Z,leonardjason@example.org,0,0,0,0,0,1,0.717123287671233
C10238,1,1,2024-05-02T13:43:28.479Z,hbrewer@example.com,1,0,0,0,0,0,0.08630136986301373
C10239,1,1,2024-05-02T13:43:28.480Z,thomas58@example.org,0,0,0,0,0,1,0.4089041095890411
C10240,0,1,2024-05-02T13:43:28.480Z,kathrynguerrero@example.org,0,0,0,0,1,0,0.7458904109589042
C10241,1,0,2024-05-02T13:43:28.481Z,michaelweaver@example.com,0,0,0,0,0,1,0.45136986301369864
C10242,1,0,2024-05-02T13:43:28.482Z,cynthiareyes@example.org,0,0,0,0,0,1,0.23493150684931519
C10243,0,1,2024-05-02T13:43:28.483Z,brittany42@example.com,0,0,1,0,0,0,0.008904109589041198
C10244,1,1,2024-05-02T13:43:28.483Z,hollandbrian@example.com,0,0,0,0,0,1,0.22397260273972597
C10245,0,1,2024-05-02T13:43:28.484Z,yolandamonroe@example.net,1,0,0,0,0,0,0.41917808219178077
C10246,0,0,2024-05-02T13:43:28.484Z,jessica64@example.net,0,0,0,0,0,1,0.9232876712328766
C10247,1,1,2024-05-02T13:43:28.485Z,dmontgomery@example.com,0,0,1,0,0,0,0.893150684931507
C10248,0,0,2024-05-02T13:43:28.486Z,leeshane@example.com,1,0,0,0,0,0,0.08082191780821923
